,Training,Validation
0,2.7212322465666046,2.7073300535028633
1,2.707033102328961,2.7048440846529873
2,2.6990345991574802,2.7036463130604136
3,2.6923254217420305,2.677874131636186
4,2.680385791338407,2.667779792438854
5,2.6570448770627872,2.6323625391179863
6,2.62605444415585,2.5901052084836094
7,2.591456258689964,2.5629862438548696
8,2.5529337400918477,2.511184258894487
9,2.5022953892802144,2.472723028876565
10,2.467291588311667,2.485212130980058
11,2.4423173862499197,2.423914302479137
12,2.421545657482776,2.3882777907631616
13,2.401282881642436,2.4111971204931084
14,2.3795031243628197,2.4287324385209517
15,2.3684139461307736,2.361222093755549
16,2.3546388280260695,2.362079707058993
17,2.3276440861460928,2.3414746197787197
18,2.3228150671655006,2.325672084634954
19,2.3187310171651316,2.2918989658355713
20,2.3028324305356205,2.313066092404452
21,2.2939685046017826,2.2915438305247915
22,2.2891243054316592,2.277672442522916
23,2.2732903485769755,2.2477210868488657
24,2.2658797397718327,2.255641070279208
25,2.259958776798877,2.2579855702140113
26,2.256241947739989,2.2602470137856225
27,2.246298003982712,2.2215208898891103
28,2.233321115210816,2.247171727093783
29,2.237537666991517,2.2227003357627173
30,2.2165128045029694,2.2053781097585503
31,2.2169832174594584,2.194771018895236
32,2.2106192308467825,2.178777738050981
33,2.194041996211796,2.1610906665975396
34,2.1771579338954044,2.128900159489025
35,2.1671299737888376,2.142634630203247
36,2.150797868822957,2.134515469724482
37,2.160147475672292,2.12429497458718
38,2.150669194839813,2.108429702845487
39,2.1437177684280897,2.132560892538591
40,2.1267563078429674,2.048977104100314
41,2.1139436999520105,2.088855017315258
42,2.1131451496711144,2.0483267957513984
43,2.0939693568827034,2.060457229614258
44,2.0809939392320405,2.0121727748350664
45,2.0836879931963406,2.047546700997786
46,2.0688909829317867,2.040474523197521
47,2.0646774061433564,2.045908429405906
48,2.055608277792459,2.028842481699857
49,2.0556682479250563,2.0059511228041216
50,2.0314941995746487,1.9860922423276035
51,2.0370695080075945,2.023517532782121
52,2.0217488964835364,2.0185602469877764
53,2.00401492695232,2.0279675830494273
54,2.0015714024449442,1.9726165749809959
55,1.9934831648082523,1.9825918566096912
56,1.9939910579513718,1.9750111970034512
57,1.9915755528670092,1.9792576919902454
58,1.9744928865642337,1.9886307391253384
59,1.9907901300178779,1.9752350070259788
60,1.9794441238864438,2.017725771123713
61,1.9786302283570008,2.02378832210194
62,1.9718298126053024,1.9964721311222424
63,1.9550678166714344,1.9812877611680464
64,1.9672347451304342,1.9944813684983687
65,1.9624892420821138,2.0309775200757114
66,1.950961158825801,2.001477740027688
67,1.9426832159796914,1.9504973563280972
68,1.9381433725357056,1.9912270741029219
69,1.9405584191228007,1.9228313185951926
70,1.937699141083183,1.9825847799127752
71,1.9281371713994624,1.9651300473646685
72,1.9195652492753752,1.970318165692416
73,1.9160189890599513,1.9888136278499255
74,1.9092175357944363,1.9457379362799905
75,1.920478140914833,1.9493260058489712
76,1.907004864661248,1.9586702151732012
77,1.8928804842980353,1.907563946463845
78,1.8719379011091295,1.9583821079947732
79,1.8652866201086358,1.9447951208461414
80,1.8868918851181702,1.9446974992752075
81,1.8705191546744042,2.0003550919619473
82,1.8697642218935622,1.9188035834919324
83,1.849207037097805,1.9380420012907549
84,1.837664253109104,1.9415972557934849
85,1.8506471403352507,1.9543699351224033
86,1.8138308904983185,1.9285299886356702
87,1.825784845666571,2.011479139328003
88,1.824589464690659,1.9558989784934304
89,1.78515744471288,1.8539021123539319
90,1.793872268645318,1.9489327344027432
91,1.8019233968231705,1.9519451531496914
92,1.7786079501057719,1.9036995280872693
93,1.7659923008510046,1.8977347829125144
94,1.748108290053986,1.8852804465727373
95,1.7627758796398456,1.8832712065089832
96,1.7428186162487491,1.9113271128047595
97,1.7556245484194912,1.880246725949374
98,1.7316402209984076,1.8796503868970005
99,1.7304852100519033,1.8728093342347578
