,Training,Validation
0,3.5634508836600514,3.5474748467824546
1,3.546410101983282,3.532017058636769
2,3.5328187950783305,3.522377269813813
3,3.52001530263159,3.513329253139266
4,3.507230683333344,3.495764970779419
5,3.4960371065470905,3.487151958856238
6,3.4914010398917728,3.46858848721148
7,3.4666595881183944,3.445972333471459
8,3.438499471379651,3.3885274651538895
9,3.403931970397631,3.3825629159628625
10,3.3854141434033713,3.3668933259435447
11,3.37196352167262,3.3456661643752135
12,3.3475867294602923,3.3317351513598337
13,3.3342480295234256,3.3113287874014983
14,3.3136613650454416,3.302278981151351
15,3.2999204670389495,3.2546058835753477
16,3.2873753764563136,3.2601122310362665
17,3.268529156843821,3.2412311197763466
18,3.248509112331602,3.2347142121878014
19,3.238377465142144,3.2099191654159362
20,3.2261266907056174,3.2011498801679497
21,3.2114737638168864,3.1886612507234138
22,3.2031792625784874,3.182830511805523
23,3.1843709581428103,3.164327770830637
24,3.1675626420312457,3.1607635365911277
25,3.157342981133196,3.1404364281390085
26,3.1510415433181658,3.1213314619409034
27,3.1333031778534255,3.119415179792657
28,3.1235709206925497,3.0967318954237975
29,3.1055578200353517,3.0836541968655875
30,3.0916234114103847,3.064945792577353
31,3.074496712949541,3.054554634783641
32,3.0610847282740803,3.04511463785746
33,3.0383596974942417,3.0291614819722
34,3.0160870220926075,3.0396387864308183
35,3.0099086463451385,3.0017016077616128
36,2.9795996505353184,2.9632697392659013
37,2.9626430604192944,2.9642809758703392
38,2.9485863927337856,2.9315966439534384
39,2.9166435127456984,2.951546042798513
40,2.901738049255477,2.905077164431652
41,2.888376832008362,2.8573273506509254
42,2.867430805332131,2.858229901417192
43,2.8479851368400784,2.815449730459466
44,2.828966464433405,2.8233379886811036
45,2.8140958994627,2.806035306080278
46,2.7915488514635296,2.8199089119233283
47,2.774696880744563,2.7817319818289885
48,2.74945876830154,2.7507036098514694
49,2.739515660537614,2.7475378226084883
50,2.7167141114672027,2.724539110459477
51,2.706832328604327,2.7418808592371193
52,2.689053470889727,2.715705578585705
53,2.681568233503236,2.7339890060654604
54,2.6680150603254638,2.682753785547004
55,2.638834719028738,2.6802687903484665
56,2.6343127340078354,2.6461919273238586
57,2.6262625182668367,2.6674129675669844
58,2.612645645108488,2.656027437692665
59,2.6056164743171797,2.636105673858918
60,2.5876813522643514,2.620044923690428
61,2.5791736394166946,2.6201865615614928
62,2.5756723578605385,2.5673834671636664
63,2.5538107885254755,2.6325439315244377
64,2.540258851730161,2.5848755606685776
65,2.5431139883067875,2.5968875253056907
66,2.52766246183051,2.588446651596621
67,2.5218824135760465,2.589509859142533
68,2.49810937874847,2.5749934495213522
69,2.506223915351762,2.568074818117073
70,2.4955974544088044,2.5872811481177087
71,2.476215904371606,2.5188104920986905
72,2.4634510899583497,2.5392866881496934
73,2.4566345053414502,2.5124482462205084
74,2.4415034312340946,2.541632410991623
75,2.4327564479576216,2.4699989893215606
76,2.4247858826484947,2.510942189090223
77,2.4064894227517977,2.47501245895064
78,2.384490792536073,2.4812337569443574
79,2.3689873851835728,2.4659226917358765
80,2.340554099943903,2.418067949363984
81,2.3381045535206795,2.4704587043049826
82,2.3121658894750805,2.4115559753165186
83,2.2911176619430385,2.4455306027309005
84,2.2683932648764715,2.3728466637163277
85,2.260897327628401,2.4214684833963234
86,2.2266608385576143,2.3612343589943574
87,2.2193464748561382,2.3757224599999116
88,2.1949919358723693,2.3229498690869437
89,2.1701518044703536,2.3141208127679596
90,2.167600722362598,2.3600263882832353
91,2.135972996138864,2.299581969358835
92,2.1210130494501858,2.3093635332153504
93,2.099768111275302,2.2677178458950245
94,2.088670709894763,2.294975516307785
95,2.0718786062465773,2.2453757783016526
96,2.0476354211568832,2.2532632250383675
97,2.0338246242867575,2.278726902352758
98,2.0247292870448694,2.2863510128963425
99,2.032157850348287,2.2212115339485994
