,Training,Validation
0,3.0213554298484717,2.9051781567660244
1,2.818367761570019,2.7895433469252153
2,2.7647719776237403,2.7503229704770176
3,2.7372272198016825,2.7222983837127686
4,2.716090786588061,2.7003327066248115
5,2.6861349645551744,2.6964680715040727
6,2.659262851044372,2.6313777186653833
7,2.6084699552137773,2.581301299008456
8,2.5626357099512123,2.5657570362091064
9,2.530817930514996,2.5528601082888516
10,2.5083404844933814,2.492352702400901
11,2.475196877678672,2.50442513552579
12,2.4525011555179135,2.466767506165938
13,2.4329439283727288,2.46501822905107
14,2.4218704097873562,2.416539343920621
15,2.39447957604796,2.3860048164020884
16,2.3763654205825304,2.3791521462527188
17,2.3699173088912127,2.3646071173928003
18,2.365114775332776,2.4218484488400547
19,2.350372605271392,2.4073206944899126
20,2.357879305933858,2.346139496023005
21,2.330408874448839,2.3309125250036065
22,2.3241517072195537,2.3411263769323174
23,2.3227145069248074,2.342171083797108
24,2.3054055172008474,2.329934900457209
25,2.3022697076692684,2.2922771627252754
26,2.2947057551080055,2.2990794615312056
27,2.293059233780746,2.3140866973183374
28,2.288951412662045,2.261738517067649
29,2.268932046471061,2.259781685742465
30,2.2565323337093814,2.285166545347734
31,2.2631377269933513,2.211863734505393
32,2.2401490263886505,2.3205960447138008
33,2.239977764559316,2.21746149930087
34,2.2300819001355014,2.1909554221413354
35,2.201888068691715,2.1817087043415415
36,2.2005824977225,2.1977604194120928
37,2.215915851540618,2.1797134442762895
38,2.1962136161196364,2.237494121898304
39,2.190084742975759,2.159989822994579
40,2.1735862572114546,2.1355131322687324
41,2.1674297681221595,2.1208366480740635
42,2.140928498991243,2.179239110513167
43,2.1452606326931125,2.1055896173823965
44,2.146642620746906,2.1238890994678843
45,2.12995396734594,2.0775030959736216
46,2.1210684972804983,2.1189674572511152
47,2.099452186416794,2.0648431236093696
48,2.0847449394372792,2.0357914729551836
49,2.082077776992714,2.0214843966744165
50,2.06615264075143,2.091596625067971
51,2.068893639595954,2.002444191412492
52,2.0544397215266805,1.997735933824019
53,2.030268887897114,2.0106130946766245
54,2.0515808351747284,1.9828845370899548
55,2.035873830973447,1.9681393883445046
56,2.0089608470162195,1.9771836020729758
57,2.0191722427095686,1.980420708656311
58,2.0029119004260054,2.011192105033181
59,2.0221930087267697,1.992834676395763
60,1.9972959337653695,1.9781219309026545
61,1.9911756502403009,1.9802087870511142
62,2.01607525741661,1.9193029403686523
63,1.9826981955832177,1.9668013616041704
64,1.976052123111683,1.970000765540383
65,1.9825031325057312,1.9143663102930242
66,1.9855695452008928,1.939397855238481
67,1.9585639395556607,1.9514412554827603
68,1.9551035401585337,1.9745843085375698
69,1.9557454586029053,1.9807080138813367
70,1.9489595628046728,1.9275128299539739
71,1.9519613496549837,1.9509898749264805
72,1.9433020405716948,1.9348764311183582
73,1.9734661055135203,1.9488374319943516
74,1.9718383105246575,2.008219989863309
75,1.9433915038685223,1.9505063837224788
76,1.9169086191680405,1.9280054785988547
77,1.9190350757850396,1.9352259635925293
78,1.9048942956295642,1.9025353626771406
79,1.893199636385991,1.8996642611243508
80,1.8945214263685457,1.9338118921626697
81,1.9080985326033373,1.958994897929105
82,1.8942103870622404,1.9136004664681174
83,1.8858314896677877,1.9431983340870251
84,1.8781238427528968,1.9846775206652554
85,1.8894799436841692,1.8766565106131814
86,1.8610984755086375,1.9494945894588123
87,1.8518462626488654,1.883364569057118
88,1.841705987741659,1.9345007809725674
89,1.8263743670432122,1.870165315541354
90,1.8329478895271218,1.8609987497329712
91,1.802087202176943,1.892591660672968
92,1.7899582189518017,1.9028466072949497
93,1.7889277162132682,1.9057302258231423
94,1.7826481088177188,1.8614844192158093
95,1.7866726917224927,1.838535655628551
96,1.7840432701530038,1.8752816156907515
97,1.7703785726002284,1.9314837889237837
98,1.7777501737678445,1.8328425667502664
99,1.7551279736089183,1.8550028042359785
