,Training,Validation
0,4.427083333,3.982204861
1,4.926215278,6.73828125
2,5.642361111,8.745659722
3,6.401909722,9.939236111
4,7.356770833,10.79644097
5,8.69140625,12.05512153
6,9.038628472,12.57595486
7,9.971788194,14.10590278
8,11.05685764,14.11675347
9,12.14192708,14.88715278
10,12.59765625,15.97222222
11,13.46571181,16.38454861
12,13.81293403,17.36111111
13,14.48567708,17.578125
14,15.46223958,18.06640625
15,15.60329861,19.15147569
16,16.6015625,19.34678819
17,17.30685764,19.83506944
18,17.74088542,20.29079861
19,18.20746528,20.45355903
0,18.37022569,20.86588542
1,18.45703125,21.46267361
2,19.34678819,22.50434028
3,19.56380208,22.265625
4,20.33420139,22.90581597
5,20.17144097,23.81727431
6,20.71397569,23.60026042
7,20.45355903,23.828125
8,21.13715278,24.63107639
9,21.64713542,25.08680556
10,22.16796875,25.83550347
11,22.89496528,26.11762153
12,23.13368056,27.18098958
13,24.14279514,26.86631944
14,24.32725694,27.24609375
15,24.76128472,28.61328125
16,24.86979167,28.41796875
17,25.68359375,28.65668403
18,26.34548611,29.92621528
19,26.41059028,30.16493056
0,27.28949653,30.06727431
1,28.24435764,30.95703125
2,29.67664931,31.36935764
3,29.21006944,32.38932292
4,30.02387153,32.56293403
5,31.06553819,32.76909722
6,31.41276042,33.44184028
7,32.55208333,33.3984375
8,32.30251736,34.54861111
9,34.01692708,34.55946181
10,34.40755208,34.87413194
11,34.78732639,35.55772569
12,34.93923611,35.87239583
13,36.90321181,36.64279514
14,37.29383681,36.94661458
15,37.68446181,37.68446181
16,38.20529514,37.31553819
17,38.54166667,38.25954861
18,39.77864583,38.14019097
19,39.68098958,38.82378472
0,40.625,39.08420139
1,40.46223958,39.90885417
2,41.55815972,40.51649306
3,41.54730903,40.01736111
4,42.3828125,40.13671875
5,42.15494792,41.06987847
6,42.48046875,41.53645833
7,42.68663194,41.46050347
8,42.71918403,42.56727431
9,43.64149306,41.9921875
10,43.86935764,42.44791667
11,43.60894097,42.99045139
12,44.23828125,43.80425347
13,44.10807292,44.05381944
14,45.10633681,44.09722222
15,45.23654514,44.88932292
16,46.01779514,44.84592014
17,46.6796875,46.21310764
18,47.53689236,46.01779514
19,48.36154514,45.63802083
0,48.58940972,46.2890625
1,50.07595486,46.29991319
2,50.73784722,46.85329861
3,51.58420139,47.42838542
4,52.38715278,48.13368056
5,53.65668403,47.35243056
6,54.47048611,48.35069444
7,56.03298611,49.37065972
8,57.04210069,49.51171875
9,57.95355903,49.88064236
10,59.30989583,49.609375
11,60.56857639,50.21701389
12,61.76215278,50.53168403
13,62.56510417,50.68359375
14,63.36805556,50.87890625
15,65.01736111,52.41970486
16,65.66840278,51.69270833
17,65.48394097,51.92057292
18,66.49305556,52.61501736
19,67.48046875,52.30034722
