,Training,Validation
1,23.8474813049552,23.375
2,27.2824389843044,22.35
3,30.1503821184978,26.95
4,32.9032788232394,28.7
5,34.2016599556249,30.3
6,35.1138137891363,27.625
7,37.3490015613444,32.85
8,37.9899745254335,32.1
9,39.0746980031227,34.675
10,39.8718054071822,34.6
11,40.8743528638343,35.9
12,42.4521324677459,37.35
13,43.1341934423535,38.4
14,44.2764401347687,38.975
15,44.6215794231243,38.275
16,45.8377845344728,37.075
17,47.3005177089325,40.25
18,47.2512120963103,42.025
19,48.71394527077,41.55
20,49.3795710411702,42.95
21,49.971238392637,42.825
22,50.9326978387706,44.975
23,51.7462404470376,42.875
24,52.7487879036897,45.675
25,52.5762182595119,42.125
26,53.8088585750678,44.3
27,54.1786506697346,46.6
28,54.5484427644014,42.075
29,55.5427726189498,49.825
30,56.20839838935,49.3
31,56.7425425260909,49.575
32,57.1452050291725,50.225
33,57.9669652395431,50.05
34,58.6572438162544,51.725
35,59.2653463719287,52.475
36,59.5118744350399,52.55
37,60.1692826033364,51.825
38,60.5965979127291,50.925
39,62.2647711397814,53.25
40,62.1250719040184,52.475
41,62.248335935574,51.85
42,63.2344481880187,55.15
43,63.3905826279892,53.825
44,64.0069027857671,54.5
45,65.436765551812,54.75
46,65.6093351959898,55.75
47,65.7983400443751,54.975
48,66.3817897937382,56.425
49,66.694058673679,57.075
50,66.973457145205,56.95
51,67.9924398060646,54.55
52,68.3047086860054,58.3
53,68.7238063932944,58.35
54,68.6745007806722,58
55,68.6745007806722,58.325
56,69.5948722162873,57.125
57,69.9810995151615,59.75
58,70.1454515572356,58.875
59,70.7289013065987,59.8
60,70.9754293697099,58.9
61,68.2471854712795,57.275
62,68.8142000164352,57.95
63,69.7510066562577,56.25
64,69.5044785931465,59.75
65,70.6549428876654,60.025
66,70.7124661023913,58.9
67,71.8218423863917,57.975
68,71.9944120305695,58.4
69,72.3066809105103,60.875
70,72.1834168789547,57.875
71,72.59429698414,61
72,73.2845755608513,60.95
73,74.0734653628071,62.325
74,74.106335771222,59.7
75,74.3775166406443,61.8
76,74.7555263374147,61.95
77,75.3554112909853,61.85
78,75.7087681814447,61.8
79,75.4211521078149,62.475
80,76.1278658887337,62.5
81,75.7169857835484,63.475
82,76.957843701208,62.5
83,76.538745993919,60.675
84,76.7934916591339,61.475
85,76.4730051770893,61.275
86,76.201824307667,62.85
87,76.8017092612376,63.15
88,76.9496260991043,60.1
89,76.6702276275783,63.2
90,76.9496260991043,63.275
91,76.4647875749856,63.45
92,76.4647875749856,61.25
93,75.782726600378,62.65
94,77.1797189580081,61.6
95,76.5223107897116,61.825
96,77.2701125811488,61.275
97,76.9742789054154,62.925
98,77.2536773769414,61.15
99,77.1797189580081,63.15
100,77.2125893664229,60.7
