,Training,Validation
0,2.497350582709679,2.398709102110429
1,2.3936276252453146,2.37696834044023
2,2.3377096207587273,2.3180015737360176
3,2.3108776061089484,2.2305707064541904
4,2.2639839884999033,2.2564840533516626
5,2.2328381878989085,2.1997681097550825
6,2.223051743192987,2.1725588603453203
7,2.20618906387916,2.185213804244995
8,2.1780832822506246,2.1695716922933403
9,2.1618978885503917,2.099746747450395
10,2.1370223420006886,2.0610448772257026
11,2.123353790450882,2.0512582822279497
12,2.1023199505858368,2.062850659543818
13,2.1034915381735497,2.0208819779482754
14,2.0736927658646973,2.1028876196254385
15,2.0675652642826456,2.0173732800917192
16,2.054377414368011,2.0479822809045967
17,2.0358117805732476,2.0494529008865356
18,2.0308380153152967,2.0136506990952925
19,2.0131888677785685,1.981613657691262
20,2.014646813109681,2.0176760933615943
21,2.0014576741627286,2.0077202320098877
22,1.988669487146231,1.9933095411820845
23,1.9714339630944389,2.0111192789944736
24,1.9409275840926956,1.9608538584275679
25,1.9451862233025687,2.0157557834278452
26,1.941946070272844,1.9776586944406682
27,1.9140236783813644,2.0114262754266914
28,1.916697389476902,1.9472486647692593
29,1.900514808329907,1.9833007942546497
30,1.8888067164263882,1.9528150666843762
31,1.8927871316343874,1.9734035296873613
32,1.8818692833512694,1.9290086356076328
33,1.850654701610188,1.9634567174044522
34,1.8597702521544237,1.9479760256680576
35,1.8440260991945372,1.9009040268984707
36,1.827351601569207,1.8848416913639416
37,1.8326003538383233,1.918640288439664
38,1.8309712999469632,1.844437382437966
39,1.8096947879581662,1.9305042787031694
40,1.8042077284592848,1.9126667759635232
41,1.7626174256041809,1.8947949084368618
42,1.7607810719982608,1.8973443074659868
43,1.7523839827422256,1.8534011407331987
44,1.747601113476596,1.8604349331422285
45,1.7364561348171024,1.8251117142764004
46,1.7322964825472988,1.8820631070570513
47,1.7334737830109648,1.8543058742176404
48,1.718937560752198,1.870325511152094
49,1.6842139474638216,1.8163048462434248
50,1.6865745940051236,1.8575376597317783
51,1.6764040884080824,1.8224067471244119
52,1.676499299950652,1.8324407772584395
53,1.6500609589147044,1.8536214286630803
54,1.650540346627707,1.8177864985032515
55,1.616261017191541,1.8003394495357166
56,1.6376675367355347,1.8612539009614424
57,1.617691417316814,1.860024625604803
58,1.6026832926404344,1.8252778161655774
59,1.5927135865766924,1.7464686090295964
60,1.5691703309069622,1.831161152232777
61,1.5618049862620595,1.8316376317631116
62,1.5607375653235467,1.7558294209566983
63,1.5606428934977605,1.7719520980661565
64,1.5323125346676334,1.7866727980700405
65,1.517723709672362,1.7655854983763262
66,1.5050282294933612,1.7961225401271472
67,1.4890632026798123,1.7172154513272373
68,1.4786110120815235,1.795336831699718
69,1.4863404808463632,1.7567540949041194
70,1.4850024417206482,1.8316823027350686
71,1.4604112519012702,1.7894655682823875
72,1.4438955508745634,1.7843322537162087
73,1.4354308444065051,1.6771414930170232
74,1.4546282370011885,1.793502926826477
75,1.4318323109176132,1.7636936794627796
76,1.4083881915270626,1.7774002985520796
77,1.421848280089242,1.7040062600916082
78,1.4002232590874473,1.6347371285611934
79,1.3808110192581848,1.723737120628357
80,1.3748283412430313,1.730927662415938
81,1.3778609836494529,1.7011183175173672
82,1.364601336992704,1.6762062527916648
83,1.3491392371418711,1.7505958622152156
84,1.359282394686898,1.765131657773798
85,1.3163821487636356,1.7065812132575295
86,1.3217881544605716,1.7530872821807861
87,1.335055302132617,1.6931958957151934
88,1.3028296081574409,1.761362368410284
89,1.298694086598826,1.704324939034202
90,1.2880134058522654,1.708676901730624
91,1.2907875861440385,1.7741013440218838
92,1.2812796988330044,1.7762880325317383
93,1.2776485065837482,1.76277033849196
94,1.2809964221912427,1.800184271552346
95,1.246528867836837,1.7118005644191394
96,1.26294617665993,1.7643709941343828
97,1.238509041922433,1.758962555365129
98,1.2238479649627603,1.74570340459997
99,1.2187621685174794,1.8432202339172363
